ID,LATITUDE,LONGITUDE,Dekat_Sekolah,Dekat_Rumah_Sakit,Dekat_Pasar,Dekat_Rumah_Warga,Fasilitas_Umum_Masyarakat,Dilalui_Kendaraan_Umum,Kepadatan_Jalan,Dekat_Penginapan_Kost,Dekat_PT,Dekat_Rumah_Ibadah,Dekat_Stasiun,Dekat_Bandara,Dekat_Terminal,Kota
325,-6.176990006,106.70266785895902,0,0,0,1,1,1,2,1,0,1,0,0,0,Jakarta Barat
326,-6.18304619,106.71857287120001,1,0,0,1,1,1,3,1,0,0,0,0,0,Jakarta Barat
327,-6.170369138,106.73347784634839,0,0,0,1,1,1,2,1,1,1,0,0,0,Jakarta Barat
328,-6.164021771,106.73432599744753,1,0,1,1,1,0,2,0,1,0,0,0,0,Jakarta Barat
329,-6.162454546,106.74268990886628,1,0,1,1,0,1,3,0,0,1,0,0,0,Jakarta Barat
330,-6.165157032,106.74488759585483,1,0,0,1,1,0,1,1,0,0,0,0,0,Jakarta Barat
331,-6.17714699,106.72214732323368,1,0,0,1,1,1,2,1,0,0,0,0,0,Jakarta Barat
333,-6.124443141,106.73523103581083,1,0,0,1,0,1,2,1,1,0,0,0,0,Jakarta Barat
334,-6.123633954,106.73260119914936,1,0,0,1,1,1,3,1,0,1,0,0,0,Jakarta Barat
335,-6.12554424,106.7369215385876,1,0,0,0,0,1,3,1,1,0,0,0,0,Jakarta Barat
336,-6.131544441,106.74628078455069,1,0,0,1,1,1,2,1,0,1,0,0,0,Jakarta Barat
337,-6.132156887,106.73531075777763,1,1,0,0,1,1,3,1,1,0,0,0,0,Jakarta Barat
338,-6.13055748,106.73613050482082,1,1,0,0,1,1,2,1,1,1,0,0,0,Jakarta Barat
339,-6.135165731,106.73854691382122,1,1,1,0,0,0,1,0,1,1,0,0,0,Jakarta Barat
340,-6.132058663,106.73914207820489,1,1,1,0,1,0,2,1,1,0,0,0,0,Jakarta Barat
341,-6.13135891,106.74176302796761,1,0,0,1,0,0,3,1,0,1,0,0,0,Jakarta Barat
342,-6.151987878,106.73431789224878,1,0,0,1,0,0,1,1,1,1,0,0,0,Jakarta Barat
343,-6.160360757,106.73747641264103,1,0,0,1,0,1,2,0,1,0,1,0,0,Jakarta Barat
344,-6.163795613,106.73393008321723,1,0,1,1,0,1,2,1,1,1,0,0,0,Jakarta Barat
345,-6.121794613,106.70708088501166,0,1,0,0,1,1,2,1,0,0,0,0,0,Jakarta Barat
346,-6.120026144,106.7052608800685,1,1,0,0,1,0,2,1,0,0,0,0,0,Jakarta Barat
347,-6.122504346,106.70265028123475,1,1,0,0,1,0,2,1,0,0,0,0,0,Jakarta Barat
348,-6.163843739,106.72286451624393,1,0,0,1,1,1,2,1,0,0,1,0,0,Jakarta Barat
349,-6.164037098,106.72499257726622,1,0,0,0,1,1,3,0,1,0,1,0,0,Jakarta Barat
350,-6.166142985,106.7244861110017,1,0,0,1,1,1,3,1,0,0,0,0,0,Jakarta Barat
351,-6.174086222,106.71805454859619,0,0,1,1,1,0,2,1,1,1,0,0,0,Jakarta Barat
352,-6.171722194,106.7203559510726,0,0,0,0,1,0,3,1,0,1,0,0,0,Jakarta Barat
353,-6.146710212,106.72877827098283,0,1,0,1,1,1,2,1,0,1,0,0,0,Jakarta Barat
354,-6.142929572,106.73399024640099,0,1,0,1,1,0,1,1,1,1,0,0,0,Jakarta Barat
355,-6.167767177,106.79333143105465,1,0,0,1,1,1,3,1,1,0,0,0,0,Jakarta Barat
356,-6.169272045,106.79483510690365,1,0,0,1,0,1,2,1,0,0,0,0,0,Jakarta Barat
357,-6.169308187,106.79645881546354,0,1,0,1,0,1,2,1,1,0,0,0,0,Jakarta Barat
358,-6.170027444,106.79673926420546,1,1,0,1,0,1,3,1,0,1,0,0,0,Jakarta Barat
359,-6.168797167,106.80095756258142,0,0,1,1,0,1,2,1,0,1,0,0,0,Jakarta Barat
360,-6.169593865,106.80151099868284,0,0,1,1,0,1,2,0,1,0,0,0,0,Jakarta Barat
361,-6.176393867,106.79752726367589,1,0,0,1,1,1,3,1,0,0,0,0,0,Jakarta Barat
362,-6.173972294,106.79484571357628,1,0,0,1,0,1,2,1,1,1,0,0,0,Jakarta Barat
363,-6.143701333,106.78769555059858,0,0,0,0,1,1,2,1,1,0,0,0,1,Jakarta Barat
364,-6.150627132,106.7782941199996,1,0,0,1,1,1,2,0,1,1,0,0,1,Jakarta Barat
365,-6.150481639,106.78105030641635,1,0,1,1,1,1,3,0,1,1,0,0,1,Jakarta Barat
366,-6.178256948,106.78248678945052,1,0,1,1,1,1,3,0,0,1,0,0,0,Jakarta Barat
367,-6.178202634,106.78502691806783,1,0,1,1,0,1,3,1,0,0,0,0,0,Jakarta Barat
368,-6.173735167,106.78314376713925,0,0,1,0,1,1,3,1,1,0,0,0,0,Jakarta Barat
